매물ID,거래유형,방종류,룸타입,제목,설명,보증금(만원),월세(만원),관리비(만원),전용면적(m²),층수,총층수,욕실수,방향,입주가능일,승강기,주차여부,주소(법정동),지번주소,위도,경도,옵션,상태,조회수,등록일,수정일,건물유형,역까지_도보거리_m,역까지_도보시간_분,매물부터_동입1출_시간_분,매물부터_충무로6출_시간_분,가장가까운역
42875876,전세,원룸,분리형원룸,"분리형 1룸 1거실, 반려동물 가능한 매물입니다.","?? 매물 특징 ??
- 분리형 1룸 1거실 구조로 넓은 공간 확보 가능합니다.
- 에어컨, 냉장고, 세탁기, 싱크대가 구비되어 있어 편리한 생활이 가능합니다.
- 반려동물 동반 가능하여 더 편안한 삶을 누릴 수 있습니다.
- 주택가에 위치하여 조용한 환경에서 생활할 수 있습니다.


*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 31일",8500,0,5,25.4,반지하,3,1,E,즉시 입주 가능,FALSE,주차 불가능,서울시 은평구 불광동,은평구 불광동 331-179,37.61801932,126.9278133,"에어컨, 냉장고, 세탁기, 가스레인지, 신발장, 싱크대",open,0,2010.11.09,2025/02/07 11:49,다세대주택,739,10,32,29,연신내역
42885363,월세,원룸,분리형원룸,주방분리형 즉시입주 가능한 원룸. CCTV 및 엘리베이터 완비,"?? 매물의 장점 ??
?? 주방분리형으로 공간 활용이 좋고 쾌적한 주거환경을 제공합니다.
?? 즉시입주 가능하여 바로 이사할 수 있습니다.
?? 엘리베이터가 있어 층간 이동이 편리합니다.
?? CCTV가 설치되어 있어 안전한 생활을 보장합니다.
?? 무인택배함이 있어 택배 수령이 편리합니다.
?? 에어컨, 냉장고, 세탁기, 싱크대가 구비되어 있어 생활이 편리합니다.

*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 25년 01월 14일",10000,40,10,21,4,4,1,S,즉시 입주 가능,TRUE,주차 불가능,서울시 동작구 사당동,동작구 사당동 316-85,37.48127776,126.9752069,"에어컨, 냉장고, 세탁기, 가스레인지, 싱크대",open,0,2023.02.22,2025/03/04 14:01,다중주택,961,12,36,33,총신대입구(이수)역
42922276,월세,원룸,오픈형원룸,즉시 입주 가능한 오픈형 원룸,"?? 매물의 특징 ??
- 오픈형 원룸으로 쾌적한 공간 활용 가능
- 즉시 입주 가능하여 편리함을 누릴 수 있음
- 주방에는 싱크대가 완비되어 생활 편의를 높임

?? 추가 강조할 점 ??
- 주변 편의시설과 교통편이 뛰어나 생활에 편의를 제공
- 조용한 주거지로 휴식과 공부에 적합한 환경

?? 교통 및 위치 정보 ??
- 지하철 역과 버스 정류장이 인근에 위치하여 이동이 용이함
- 주변에는 편의점과 식당, 카페 등이 있어 생활이 편리함

*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 31일",1000,30,0,23.1,1,3,1,W,즉시 입주 가능,FALSE,주차 불가능,서울시 강북구 미아동,강북구 미아동 455-15,37.61574046,127.0280541,싱크대,open,0,2002.03.05,2024/12/31 15:07,다가구주택,400,6,25,22,미아사거리역
42957829,월세,원룸,오픈형원룸,"아늑하고 깔끔한 오픈형 원룸, 필수 가전 완비","*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

?? 이 집의 특징 ??
- 오픈형 원룸으로 공간 활용이 좋습니다.
- 싱크대, 에어컨, 냉장고, 세탁기 등의 옵션이 구비되어 있습니다.
- 깔끔하고 깨끗한 상태로 관리되어 있어요.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 31일",3000,25,0,14.88,1,3,1,E,즉시 입주 가능,FALSE,주차 불가능,서울시 강북구 수유동,강북구 수유동 172-220,37.64225416,127.0271926,"에어컨, 냉장고, 세탁기, 인덕션, 전자레인지, 신발장, 싱크대",open,0,2019.05.15,2024/12/31 15:30,다중주택,642,9,33,30,수유역
43182418,전세,오피스텔,오픈형원룸,엎어지면 사당역ㅡ 보증보험일부가입ㅡ24시 경비,"¤ 매물설명
¤ 위치 : 2호선 사당역=도보 01:14분이내
¤ 옵션 : 냉장고/세탁기/에어컨/인덕션등...
¤ 보안 : 현관도어락 / CCTV / 자체관리실
¤ 교통 + 환경 
 : 오피스텔단지이며,강남권 교통 편리합니다.
 : 주변 다양한 생활편의시설 인프라 인접
 : 지하철 초역세권 및 다양한 버스노선
 : 대로변 안전한 통행가능,여성안심귀갓길~!
¤ 체크포인트 : 전세대출가능,LH,HUG불가 (애완동물사육불가) 
¤ 건물특이사항 : 임대사업자 보증보험 일부가입",18000,0,11,14.87,9,13,1,E,즉시 입주 가능 (계약일 이후 1개월),TRUE,주차 가능,서울특별시 관악구 남현동,관악구 남현동 1061-13,37.47500712,126.9811652,"에어컨, 냉장고, 세탁기, 인덕션, 옷장, 신발장, 싱크대",open,0,2020-09-10,2025/03/23 20:26,오피스텔,234,4,30,27,사당역
43220198,월세,원룸,오픈형원룸,"즉시 입주 가능한 오픈형 원룸, 에어컨 및 싱크대 완비","?? 매물의 장점 ??
- 오픈형 원룸 구조로 공간 활용이 편리합니다.
- 즉시 입주 가능하여 편리함을 느낄 수 있습니다.
- 에어컨과 싱크대가 갖춰져 편의시설이 좋습니다.
- 반려동물을 키우고자 하는 입주자에게 적합한 매물입니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 30일",500,30,0,23.1,반지하,1,1,E,즉시 입주 가능,FALSE,주차 불가능,서울시 강북구 미아동,강북구 미아동 767-85,37.62343779,127.0220524,"에어컨, 가스레인지, 신발장, 싱크대",open,0,1972.10.30,2024/12/30 14:12,단독주택,643,8,30,27,미아역
43243670,월세,원룸,분리형원룸,"주방분리형 원룸, 즉시입주 가능. 보증금 조절 가능, 반려동물 가능","?? 매물의 특징 ??
- 주방이 분리되어 있는 원룸으로 공간 활용이 효율적입니다.
- 즉시 입주 가능하여 편리하게 이사를 할 수 있습니다.
- 보증금을 조절할 수 있어 경제적으로 세입자에게 유리합니다.
- 에어컨과 싱크대가 구비되어 있어 생활 편의를 높였습니다.
- 반려동물을 기르는 세입자에게도 적합한 공간입니다.


위반건축물 여부 확인일 : 24년 12월 26일

*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.",300,35,0,33.1,반지하,3,1,S,즉시 입주 가능,FALSE,주차 불가능,서울시 도봉구 창동,도봉구 창동 662-86,37.65073789,127.0371835,"에어컨, 싱크대",open,0,1998.12.31,2024/12/30 17:54,다가구주택,429,6,32,30,쌍문역
43249614,전세,원룸,오픈형원룸,"신선하고 밝은 분위기의 오픈형 원룸, 풀옵션 완비","*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

?? 이 집의 특징 ??
- 오픈형 원룸으로 공간 활용이 좋습니다.
- 싱크대, 에어컨, 냉장고, 세탁기 등의 옵션이 구비되어 있습니다.
- 깔끔하고 깨끗한 상태로 관리되어 있어요.

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 26일",8000,0,8,19.8,7,8,1,N,즉시 입주 가능,TRUE,주차 불가능,서울시 강북구 번동,강북구 번동 417-75,37.63810689,127.0284905,"에어컨, 냉장고, 세탁기, 인덕션, 전자레인지, 신발장, 싱크대",open,0,2017.07.07,2024/12/26 17:33,다중주택,367,5,29,26,수유역
43318075,월세,원룸,오픈형원룸,"입주 협의 가능한 오픈형 원룸, 에어컨, 냉장고, 세탁기 완비","?? 매력 포인트 ??
- 오픈형 원룸으로 개방감이 좋습니다.
- 기본 옵션(싱크대, 에어컨, 냉장고, 세탁기)이 갖춰져 있어 편리합니다.
- 입주 협의가 가능하여 이사 날짜를 유연하게 정할 수 있습니다.

???♂? 교통 및 주변 상권 ???♂?
- 대중교통 이용이 매우 편리합니다.
- 주변에 다양한 상점, 카페, 맛집 등이 있어 생활이 활기찹니다.


*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 31일",3000,30,5,19.8,반지하,3,1,NE,즉시 입주 가능,FALSE,주차 불가능,서울시 동작구 사당동,동작구 사당동 142-28,37.48558466,126.9798671,"에어컨, 냉장고, 세탁기, 인덕션, 싱크대",open,0,2009.12.30,2025/01/15 16:41,다중주택,334,4,28,25,총신대입구(이수)역
43393926,월세,오피스텔,복층형원룸,"복층형 원룸, 즉시입주 가능한 주차 가능한 매물","1년 계약시 3개월 월세면제 1년 계약 조건 렌트프리 적용 가격 305만원 

1년 계약시 관리비 30만원 최대 6개월동안 지원 가능

이사비 50만원 sk상품권 지급 
130만원 상당하는 커튼 설치

프라이빗 라운지, 와인 스토리지, 음악감상실, 명상실, 야외 테라스, 공유주방, 미팅룸 모든 커뮤니티 시설 이용 가능
 
애완동물 최대 2마리 가능

?? 매물 특징 ??
- 복층형으로 공간 활용이 최적화된 원룸입니다.
- 즉시 입주 가능하여 편리하게 이용할 수 있습니다.
- 주차 가능하며 주차비는 별도로 청구됩니다.

?? 추가 강조할 점 ??
- 엘리베이터와 CCTV가 설치되어 안전하고 편리한 생활을 제공합니다.
- 에어컨, 냉장고, 세탁기, 싱크대가 구비되어 편의성을 높였습니다.
- 반려동물도 함께 입주 가능하여 가족들과 함께 즐거운 생활을 할 수 있습니다.

",3000,381,30,32.2626,16,20,1,N,즉시 입주 가능,TRUE,주차 가능,서울특별시 용산구 한강로3가,용산구 한강로3가 100,37.5248366,126.963108,"에어컨, 냉장고, 세탁기, 인덕션, 싱크대",open,0,2024.02.26,2025/02/28 11:11,아파트,690,9,24,21,신용산역
43393956,월세,오피스텔,복층형원룸,"복층형 원룸, 주차가능. 즉시입주 가능","- 프리미엄 세대 모든 가구 완비 되있음, 자주식 주차 가능 
- 1개월 계약시 보증금 없이 임대료 830만원(관리비 포함) 3개월 이상 계약시 보증금 5,000만원 
- 프라이빗 라운지, 와인 스토리지, 음악감상실, 명상실, 야외 테라스, 공유주방, 미팅룸 모든 커뮤니티 시설 이용 가능 
- 애완동물 최대 2마리 가능

?? 매물의 장점 ??
- 복층형 원룸으로 공간 활용이 탁월합니다.
- 주차가능하여 편리함을 더했습니다. (주차비 별도)
- 즉시입주 가능하여 바로 이사하실 수 있습니다.
- 반려동물 가능으로 편안한 생활을 보장해드립니다.",5000,760,55,47.0208,19,20,2,NW,즉시 입주 가능,TRUE,주차 가능,서울특별시 용산구 한강로3가,용산구 한강로3가 100,37.5248366,126.963108,"에어컨, 냉장고, 세탁기, 인덕션, 침대, 싱크대",open,0,2024.02.26,2025/01/08 15:24,아파트,690,9,24,21,신용산역
43394272,월세,오피스텔,분리형원룸,"즉시 입주 가능한 깔끔한 분리형 1.5룸, 주차 가능, 옵션 완비","1년 계약시 1개월 렌트프리 렌트프리 적용 월세 가격 478만원 
1년 계약시 이사비 50만원 지원(sk상품권 지급), 
130만원 상당 커튼 설치

프라이빗 라운지, 와인 스토리지, 음악감상실, 명상실, 야외 테라스, 공유주방, 미팅룸 모든 커뮤니티 시설 이용 가능 

애완동물 최대 2마리 가능

?? 매물의 특징 ??
- 분리형 1룸과 1거실로 구조가 편리합니다.
- 주차 가능하여 차량 이용이 편리합니다. (주차비 별도)
- 반려동물 동반 가능하여 반려동물을 키우는 가정에 적합합니다.

?? 추가 강조할 점 ??
- 즉시 입주 가능하여 빠른 이사가 필요한 분들께 추천드립니다.",5000,518,40,45.9597,19,20,1,SE,즉시 입주 가능,TRUE,주차 가능,서울특별시 용산구 한강로3가,용산구 한강로3가 100,37.5248366,126.963108,"에어컨, 냉장고, 세탁기, 인덕션, 싱크대",open,0,2024.02.26,2025/02/28 11:12,아파트,690,9,24,21,신용산역
43410329,전세,오피스텔,쓰리룸,"넓고 깔끔한 쓰리룸, 인덕션 옵션으로 편리한 생활","?? 매물의 매력 포인트 ??  
?? 넓은 쓰리룸 구조로 가족이나 친구들과 함께 생활하기에 최적입니다.  
?? 깔끔하고 깨끗한 상태로 즉시 입주 가능합니다.  
?? 인덕션 옵션으로 안전하고 효율적인 요리가 가능합니다.  ",30000,0,0,29.89,16,17,1,NW,즉시 입주 가능,TRUE,주차 가능,서울특별시 강북구 미아동,강북구 미아동 189-30,37.6323208,127.024456,"인덕션, 신발장, 싱크대",open,0,2024.08.28,2025/01/09 19:20,아파트,714,9,31,28,미아역
43419855,월세,원룸,오픈형원룸,"오픈형원룸, 주차 가능, 엘리베이터 및 CCTV 완비","?? 매물의 특징 ??
- 오픈형원룸으로 활짝 열린 공간
- 주차가 가능하여 편리함을 더했습니다
- 건물 내 엘리베이터와 CCTV가 완비되어 안전합니다
- 에어컨, 냉장고, 세탁기, 싱크대가 구비되어 편리한 생활이 가능합니다
- 입주 협의가 가능하여 이사 날짜를 유연하게 정할 수 있습니다.

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

위반건축물 여부 확인일 : 25년 01월 10일",3700,104,12,28.88,6,10,1,NW,즉시 입주 가능,TRUE,주차 가능,서울시 서초구 방배동,서초구 방배동 750-8,37.49820242,126.9858195,"에어컨, 냉장고, 세탁기, 인덕션, 싱크대",open,0,2018.09.07,2025/03/13 12:39,오피스텔,984,15,36,33,동작역
43451372,월세,원룸,분리형원룸,"깔끔하고 실용적인 주방 분리형 원룸, 주차 가능, 옵션 완비","?? 이 집의 특징 ??
- 주방 분리형 원룸으로 공간 활용이 좋습니다.
- 싱크대, 에어컨, 냉장고, 세탁기 등의 옵션이 구비되어 있습니다.
- 깔끔하고 깨끗한 상태로 관리되어 있어요.
- 주차 가능합니다. (주차비 별도)

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 25년 01월 14일",3000,40,10,19.8,반지하,4,1,N,즉시 입주 가능,TRUE,주차 가능,서울시 동작구 사당동,동작구 사당동 316-85,37.48127776,126.9752069,"에어컨, 냉장고, 세탁기, 인덕션, 신발장, 싱크대",open,0,2023.02.22,2025/03/18 16:45,다중주택,961,12,36,33,총신대입구(이수)역
43451767,전세,원룸,분리형원룸,보증금 조정가능 즉시입주 깨끗하고 깔끔한 신축급 풀옵션,"- 전세대출불가

?? 위 치 / 교통 ?? 
ㅇ 수유역 근처에 위치한 역세권 원룸입니다.! 
ㅇ 도보 8분 이내 이용 가능한 거리입니다.! 
ㅇ 버스 정류장이 가깝고 버스 노선이 많아 도심 접근성이 매우 좋습니다! 

?? 인테리어/특징 ?? 
ㅇ 밝은톤의 벽지와 바닥으로 깔끔합니다 
ㅇ 풀옵션이므로 몸만 오시면 됩니다 
ㅇ 즉시 입주 가능합니다 
ㅇ 엘리베이터가 있어 편리합니다 

?? 주변 편의시설 안내 ?? 
ㅇ 은행,병원,약국,대중교통,카페 편의점,마트,PC방,세탁소,빨래방 등 각종 편의시설이 인접해 있습니다. 
?? 주차 안내 건축물대장상 총 주차대수는 3대이며 현재 주차는 불가합니다. 

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다. 
*참고사항 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.",11500,0,6,30,4,8,1,NE,즉시 입주 가능,TRUE,주차 불가능,서울시 강북구 번동,강북구 번동 465-84,37.6421354,127.0312662,"에어컨, 냉장고, 세탁기, 인덕션, 전자레인지, 침대, 옷장, 싱크대",open,0,2018.11.15,2025/02/27 18:17,제2종근린생활시설,789,10,34,31,수유역
43471183,월세,오피스텔,분리형원룸,"보증금 5000부터 조정 가능,  방1,큰거실1,복층,","******* 다빈치 / 성신여대입구역 5분/ 신혼 / 신축 첫입주 ***** 

(가격 ) 

* 월세, 반전세, 올 전세  모두 가능 

* 보증금 5000부터 가능 

* 임대인 -- 개인 /  주택임대사업자 (보증보험 100 가입) 

* 은행전세대출 OK  (허그 버팀목 가능 ) 

* 보증금 허그 대출 + 월세 35 

* 보증금 조절과  월세 등의  반전세도 가능 

( 교통 ) 

* 건물 바로 앞  버스 정류장 

* 4호선 성신여대입구역  도보 5분 

* 기계식 주차 공간 (월주차비 7만원 , SUV 주차 가능 ) 


( 상태 및 주변 환경 ) 

* 옵션 :  시스템 에어컨, 공기청정 순환기, 실링팬, 옷장(붙박이장), 냉장고, 세탁기, 전자렌지, 신발장, 샤워부스 공간 등 

* 신축 첫 입주 / 신혼 이나 커플 / 1-2인 사용하기 굿 

* 천장이 높아서   집이 굉장히  멋스럽고 커 보임 

* 벽면 한가득  붙박이장이 있어서  수납공간 넉넉 

* 화이트한 마감재와  비스코프 냉장고 등이  예쁘게  위치하고 있음

* 교통 편리/ 도심 속  건물 뒷편  천이 형성되어 있어서    운동하고 산책하기 좋은 곳

* 관공서 / 맛집/ 쇼핑 등 생활 편의시설 가득한 곳",5000,165,15,37.24,3,16,1,SW,즉시 입주 가능,TRUE,주차 불가능,서울특별시 성북구 삼선동4가,성북구 삼선동4가 351-1,37.59054331,127.0150052,"에어컨, 냉장고, 세탁기, 인덕션, 전자레인지, 옷장, 신발장, 싱크대",open,0,20240926,2025/03/17 17:54,오피스텔,423,6,21,18,성신여대입구역
43475357,월세,원룸,분리형원룸,"분리형 원룸, 협의 입주 가능, 세탁기와 싱크대 완비된 매물","- 세입자분이 저렴하게 파실 의향있음(에어컨 냉장고 식탁 등등)
- 올전세 14000 가능

?? 매물의 특징 ??
- 분리형 원룸으로 공간 활용이 용이합니다.
- 입주일은 협의 가능하니 일정에 구애받지 않고 입주하실 수 있습니다.
- 세탁기와 싱크대가 갖춰져 있어 편리한 생활이 가능합니다.
- 대중교통 이용이 편리한 위치에 있습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.",12000,10,5,20,1,2,1,NE,즉시 입주 가능,FALSE,주차 불가능,서울시 강북구 수유동,강북구 수유동 190-16,37.64020629,127.0256799,"세탁기, 신발장, 싱크대",open,0,1991.01.25,2025/01/15 15:49,단독주택,382,6,30,27,수유역
